
2024/10/07 (22:48:23) | ===> btop++ v.1.4.0
2024/10/07 (22:48:23) | INFO: Logger set to DEBUG
2024/10/07 (22:48:23) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/10/07 (22:48:23) | INFO: Running on /dev/pts/0
2024/10/07 (22:48:24) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/10/07 (22:48:24) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/10/07 (22:48:24) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/10/07 (22:48:24) | DEBUG: Shared::init() : Initialized.
2024/10/07 (22:48:24) | DEBUG: Loading theme file: /home/hplat/.config/btop/themes/catppuccin_mocha.theme

2024/10/07 (23:03:05) | ===> btop++ v.1.4.0
2024/10/07 (23:03:05) | INFO: Logger set to DEBUG
2024/10/07 (23:03:05) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/10/07 (23:03:05) | INFO: Running on /dev/pts/0
2024/10/07 (23:03:05) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/10/07 (23:03:05) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/10/07 (23:03:05) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/10/07 (23:03:05) | DEBUG: Shared::init() : Initialized.
2024/10/07 (23:03:05) | DEBUG: Loading theme file: /home/hplat/.config/btop/themes/catppuccin_mocha.theme

2024/10/11 (01:12:58) | ===> btop++ v.1.4.0
2024/10/11 (01:12:58) | INFO: Logger set to DEBUG
2024/10/11 (01:12:58) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/10/11 (01:12:58) | INFO: Running on /dev/pts/0
2024/10/11 (01:12:58) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/10/11 (01:12:58) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/10/11 (01:12:58) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/10/11 (01:12:58) | DEBUG: Shared::init() : Initialized.
2024/10/11 (01:12:58) | DEBUG: Loading theme file: /home/hplat/.config/btop/themes/catppuccin_mocha.theme

2024/11/04 (02:37:37) | ===> btop++ v.1.4.0
2024/11/04 (02:37:37) | INFO: Logger set to DEBUG
2024/11/04 (02:37:37) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/11/04 (02:37:37) | INFO: Running on /dev/pts/1
2024/11/04 (02:37:37) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/04 (02:37:37) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/04 (02:37:37) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/11/04 (02:37:37) | DEBUG: Shared::init() : Initialized.
2024/11/04 (02:37:37) | DEBUG: Loading theme file: /home/hplat/.config/btop/themes/catppuccin_mocha.theme

2024/11/04 (02:39:44) | ===> btop++ v.1.4.0
2024/11/04 (02:39:44) | INFO: Logger set to DEBUG
2024/11/04 (02:39:44) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/11/04 (02:39:44) | INFO: Running on /dev/pts/0
2024/11/04 (02:39:44) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/04 (02:39:44) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/04 (02:39:44) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/11/04 (02:39:44) | DEBUG: Shared::init() : Initialized.
2024/11/04 (02:39:44) | DEBUG: Loading theme file: /home/hplat/.config/btop/themes/catppuccin_mocha.theme
